T1Time,T1Pos,T1Vel,T1Acc,T2Time,T2Pos,T2Vel,T2Acc,T3Time,T3Pos,T3Vel,T3Acc,T4Time,T4Pos,T4Vel,T4Acc,T5Time,T5Pos,T5Vel,T5Acc,T6Time,T6Pos,T6Vel,T6Acc
1.75,0.6240885,0.334234444,0.035517438,1.75,0.6683355,0.330804444,-0.0042875,1.75,0.669536,0.338998333,0.022019753,1.75,0.6422675,0.334425,-0.014344599,1.75,0.6762245,0.333662778,-0.009051389,1.75,0.729561,0.332233611,0.061665895
1.8,0.6405525,0.337855,0.069393981,1.8,0.6844565,0.332328889,0.037052469,1.8,0.688401,0.3472875,0.017573457,1.8,0.658903,0.332995833,-0.017044136,1.8,0.6926885,0.331566667,0.000952778,1.8,0.7461965,0.336235278,0.085114815
1.85,0.657531,0.347096944,0.007198765,1.85,0.701435,0.336521111,0.045627469,1.85,0.7050365,0.343285833,-0.029800772,1.85,0.6755385,0.331947778,-0.004393364,1.85,0.7091525,0.333186389,0.021278704,1.85,0.762832,0.346239444,0.019055556
1.9,0.676396,0.337855,-0.047480093,1.9,0.718242,0.338617222,0.021755093,1.9,0.7225295,0.342237778,-0.049862037,1.9,0.6920025,0.33271,0.006828241,1.9,0.7259595,0.335663611,0.009051389,1.9,0.78204,0.336330556,-0.023554784
1.95,0.690802,0.33614,-0.001958488,1.95,0.735392,0.338426667,0.005875463,1.95,0.7393365,0.338521944,-0.067223765,1.95,0.7088095,0.3335675,0.001429167,1.95,0.742938,0.334520278,-0.011909722,1.95,0.79576,0.337283333,0.035411574
2,0.7094955,0.342333056,-0.02598966,2,0.752199,0.337188056,0.02773642,2,0.7564865,0.334043889,-0.05171466,2,0.725445,0.332900556,-0.005081481,2,0.759402,0.333281667,-0.013762346,2,0.8151395,0.347668611,-0.03657608
2.05,0.7259595,0.333948611,-0.052561574,2.05,0.769006,0.338236111,0.090619753,2.05,0.7726075,0.3318525,-0.011327469,2.05,0.7420805,0.332424167,0.002699537,2.05,0.776209,0.332805278,-0.007039969,2.05,0.831775,0.33614,-0.140746451
2.1,0.7424235,0.333472222,-0.025248611,2.1,0.7852985,0.350622222,0.071722994,2.1,0.7894145,0.334329722,0.005346142,2.1,0.758716,0.332424167,0.020220062,2.1,0.792673,0.33271,0.00100571,2.1,0.848582,0.328231944,-0.148950926
2.15,0.7592305,0.333186389,-0.023872377,2.15,0.804678,0.352146667,-0.061983488,2.15,0.8062215,0.333948611,-0.00555787,2.15,0.77518,0.333948611,0.043721914,2.15,0.80948,0.33271,0.016356019,2.15,0.8648745,0.314988333,-0.046474383
2.2,0.775866,0.3318525,-0.030330093,2.2,0.8213135,0.339665278,-0.11549784,2.2,0.822857,0.332995833,-0.00529321,2.2,0.7918155,0.340713333,0.006140123,2.2,0.825944,0.3335675,0.044780556,2.2,0.878766,0.324801944,0.044462963
2.25,0.7925015,0.328994167,-0.018685031,2.25,0.8381205,0.334901389,-0.064524228,2.25,0.8394925,0.332424167,0.009951235,2.25,0.810166,0.332805278,-0.006881173,2.25,0.842751,0.336330556,0.077916049,2.25,0.8978025,0.328136667,-0.012068519
2.3,0.8086225,0.328803611,0.013974074,2.3,0.8545845,0.334234444,-0.01688534,2.3,0.8559565,0.334329722,0.017838117,2.3,0.8244005,0.335854167,0.043986574,2.3,0.859215,0.344429167,0.051026543,2.3,0.91238,0.318894722,5.29E-05
2.35,0.825258,0.331090278,0.032764969,2.35,0.871563,0.334710833,0.004975617,2.35,0.872935,0.336044722,-0.00984537,2.35,0.843437,0.343476389,-0.00629892,2.35,0.8775655,0.345667778,-0.049068056,2.35,0.9286725,0.32585,0.045733333
2.4,0.841722,0.3335675,0.022549074,2.4,0.888027,0.335663611,0.001905556,2.4,0.889742,0.333948611,-0.048856327,2.4,0.8597295,0.335187222,-0.053937809,2.4,0.8943725,0.336330556,-0.094695525,2.4,0.945308,0.327088611,0.037475926
2.45,0.8587005,0.334329722,-0.005875463,2.45,0.905177,0.335473056,-0.013815278,2.45,0.9063775,0.330613889,-0.071775926,2.45,0.8765365,0.333662778,-0.031547531,2.45,0.9108365,0.332233611,-0.065900463,2.45,0.961429,0.328803611,0.036946605
2.5,0.875336,0.331947778,-0.016356019,2.5,0.921641,0.334043889,-0.023872377,2.5,0.923013,0.324135,-0.043086728,2.5,0.8930005,0.332805278,-0.015985494,2.5,0.927472,0.330423333,-0.03657608,2.5,0.9780645,0.331376111,0.020061265
2.55,0.8918,0.330995,0.003599383,2.55,0.9386195,0.332043056,-0.013974074,2.55,0.938448,0.323944444,0.028054012,2.55,0.9098075,0.333186389,-0.014556327,2.55,0.943936,0.328803611,-0.008469136,2.55,0.9947,0.331566667,-0.005187346
2.6,0.908264,0.333091111,0.011803858,2.6,0.9547405,0.331947778,0.009263117,2.6,0.9550835,0.329756389,0.050814815,2.6,0.926443,0.331376111,-0.01587963,2.6,0.9602285,0.329565833,0.015085648,2.6,1.0113355,0.329661111,-0.004340432
2.65,0.9252425,0.333091111,0.002805401,2.65,0.971719,0.333758056,0.018473302,2.65,0.971719,0.331090278,0.033611883,2.65,0.942907,0.330423333,0.002593673,2.65,0.976864,0.330995,0.02344892,2.65,1.027628,0.329375278,0.024613426
2.7,0.941535,0.333472222,-0.00883966,2.7,0.988183,0.334520278,0.01259784,2.7,0.988183,0.332424167,0.022602006,2.7,0.959371,0.331566667,0.020325926,2.7,0.993328,0.332519444,0.017573457,2.7,1.044092,0.331471389,0.06028966
2.75,0.958685,0.332138333,-0.016938272,2.75,1.0051615,0.3352825,0.000529321,2.75,1.00499,0.332900556,0.019002623,2.75,0.9760065,0.333662778,0.015562037,2.75,1.010135,0.333376944,-0.00026466,2.75,1.0603845,0.3404275,0.009898302
2.8,0.974806,0.3301375,0.003387654,2.8,1.021797,0.334425,-0.00831034,2.8,1.021454,0.333758056,0.026360185,2.8,0.9928135,0.334329722,-0.010639352,2.8,1.0267705,0.332328889,-0.013233025,2.8,1.079078,0.332805278,-0.046209722
2.85,0.9914415,0.332519444,0.020749383,2.85,1.038604,0.3335675,-0.000635185,2.85,1.038261,0.336330556,0.020061265,2.85,1.0096205,0.331757222,-0.021490432,2.85,1.043406,0.330709167,-0.001535031,2.85,1.0933125,0.331185556,-0.019373148
